LFQ intensity BvO325_ccpa_MG1363_1	LFQ intensity BvO326_ccpa_MG1363_2	LFQ intensity BvO327_ccpa_MG1363_3	LFQ intensity BvO328_ccpa_MG1363_4	LFQ intensity BvO329_wt_MG1363_1	LFQ intensity BvO330_wt_MG1363_2	LFQ intensity BvO331_wt_MG1363_3	LFQ intensity BvO332_wt_MG1363_4	Only identified by site	Reverse	Potential contaminant	FilteredRows	Protein names	Gene names	Gene names  (primary )	Gene names  (ordered locus )	Intramembrane	Transmembrane	Student's T-test Significant ccpa mutant_wt	Student's T-test significant	Length	EC number	Gene names  (primary )_	Gene names  (ordered locus )_	Mass	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)	Intramembrane_	Subcellular location [CC]	Topological domain	Transmembrane_	Cross-reference (PRIDE)	Cross-reference (KEGG)	Cross-reference (BRENDA)	Cross-reference (eggNOG)	Cross-reference (KO)	COGcatcombined	id	Number of proteins	Peptides	Unique peptides	Sequence coverage    	Mol  weight  kDa 	Sequence length	Q value	Score	Intensity	iBAQ	iBAQ BvO325_ccpa_MG1363_1	iBAQ BvO326_ccpa_MG1363_2	iBAQ BvO327_ccpa_MG1363_3	iBAQ BvO328_ccpa_MG1363_4	iBAQ BvO329_wt_MG1363_1	iBAQ BvO330_wt_MG1363_2	iBAQ BvO331_wt_MG1363_3	iBAQ BvO332_wt_MG1363_4	-Log Student's T-test p-value ccpa mutant_wt	Student's T-test q-value ccpa mutant_wt	Student's T-test Difference ccpa mutant_wt	Student's T-test Test statistic ccpa mutant_wt	Sequence length_	Average molecular mass	Number of theoretical peptides (trypsin/P, 7-30)	Protein IDs	Majority protein IDs	Fasta headers	Gene name	Protein name
6.95705652236938	6.9253945350647	6.83251523971558	6.77749919891357	7.10057735443115	7.160888671875	7.08062648773193	7.0912446975708					Transcriptional regulator mtl operon mtlR	mtlR llmg_0023	mtlR	llmg_0023	0	0			644		mtlR	llmg_0023	74,550	regulation of transcription, DNA-templated [GO:0006355]	transferase activity [GO:0016740];transporter activity [GO:0005215]		0	0	0	0	0	llm:llmg_0023	0	COG3711;ENOG4107YHA	K03483	K	15	1	7	7	14.1	74.549	644	0	56.556	58863000	1435700	213650	134050	169010	105380	219710	216190	256750	120940	2.70030375088306	0.161725490196078	-0.235217928886414	-0.225058671338556	644	74549.8535799999	41	A2RH95	A2RH95	tr|A2RH95|A2RH95_LACLM Transcriptional regulator mtl operon mtlR OS=Lactococcus lactis subsp. cremoris (strain MG1363) GN=mtlR PE=4 SV=1	mtlR	Transcriptional regulator mtl operon mtlR
7.64797925949097	7.57443618774414	7.70451068878174	7.59048509597778	7.94943380355835	7.92886686325073	7.9936785697937	8.02518272399902					PTS system, mannitol-specific IIA component (EC 2.7.1.69)	mtlF llmg_0024	mtlF	llmg_0024	0	0			143	2.7.1.69	mtlF	llmg_0024	15,914		D-glucosamine PTS permease activity [GO:0103111];protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]		0	0	0	0	0	llm:llmg_0024	0	COG4668;ENOG4105DTZ	K02798	G	16	1	6	6	53.1	15.914	143	0	32.349	391570000	43508000	5069900	2882800	4126600	2850600	5018200	6966800	10525000	6067700	4.08361940170775	0.0787142857142857	-0.344937682151794	-0.33272421660833	143	15914.24628	9	A2RH96	A2RH96	tr|A2RH96|A2RH96_LACLM PTS system, mannitol-specific IIA component OS=Lactococcus lactis subsp. cremoris (strain MG1363) GN=mtlF PE=4 SV=1	mtlF	PTS system, mannitol-specific IIA component
6.48148155212402	6.34319162368774	6.07072067260742	6.67300939559937	7.2192964553833	7.28057813644409	7.19035959243774	7.10305070877075					Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	mtlD llmg_0025	mtlD	llmg_0025	0	0	+	ccpa mutant_wt	388	1.1.1.17	mtlD	llmg_0025	43,946	mannitol metabolic process [GO:0019594]	coenzyme binding [GO:0050662];mannitol-1-phosphate 5-dehydrogenase activity [GO:0008926]		0	0	0	0	0	llm:llmg_0025	0	COG0246;ENOG4107SQ3	K00009	G	17	1	5	5	12.4	43.946	388	0	20.686	45635000	2074300	14230	17563	39884	9094.9	530800	450690	732370	279660	3.05723236701997	0.00547368421052632	-0.806220412254333	-0.712241845913424	388	43946.2539799999	22	A2RH97	A2RH97	sw|A2RH97|MTLD_LACLM Mannitol-1-phosphate 5-dehydrogenase OS=Lactococcus lactis subsp. cremoris (strain MG1363) GN=mtlD PE=3 SV=1	mtlD	Mannitol-1-phosphate 5-dehydrogenase
8.14388847351074	8.01199340820313	8.08955192565918	8.10934257507324	8.02787971496582	7.94212198257446	7.95624542236328	7.97662496566772					Aminotransferase (EC 2.6.1.-)	araT llmg_0066	araT	llmg_0066	0	0			391	2.6.1.-	araT	llmg_0066	43,220	biosynthetic process [GO:0009058]	pyridoxal phosphate binding [GO:0030170];transaminase activity [GO:0008483]		0	0	0	0	0	llm:llmg_0066	0	COG0436;ENOG4105CHM	K00841	E	21	1	16	16	45.5	43.219	391	0	136.05	643900000	30662000	6452900	4639700	5223200	4530400	2499000	2400700	3260800	1655500	1.81602702599742	0.282888888888889	0.11297607421875	0.109298428275363	391	43219.63118	21	A2RHD7	A2RHD7	tr|A2RHD7|A2RHD7_LACLM Aminotransferase OS=Lactococcus lactis subsp. cremoris (strain MG1363) GN=araT PE=3 SV=1	araT	Aminotransferase
9.01233100891113	9.02836799621582	9.07918167114258	9.05377006530762	9.07437801361084	9.12054061889648	9.11233711242676	8.90919780731201					Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	pdhD llmg_0071	pdhD	llmg_0071	0	0			472	1.8.1.4	pdhD	llmg_0071	49,866	cell redox homeostasis [GO:0045454];glycolytic process [GO:0006096]	dihydrolipoyl dehydrogenase activity [GO:0004148];flavin adenine dinucleotide binding [GO:0050660]	cell [GO:0005623]	0	0	0	0	0	llm:llmg_0071	0	COG1249;ENOG4107QN2	K00382	C	22	1	22	22	63.8	49.865	472	0	106.63	6750000000	355420000	58225000	40726000	45464000	40485000	43358000	43910000	60918000	22333000	0.0745898320609336	0.899895857988166	-0.0107007026672363	-0.0101768747225975	472	49865.8381799999	19	A2RHE1	A2RHE1	tr|A2RHE1|A2RHE1_LACLM Dihydrolipoyl dehydrogenase OS=Lactococcus lactis subsp. cremoris (strain MG1363) GN=pdhD PE=4 SV=1	pdhD	Dihydrolipoyl dehydrogenase
9.17318630218506	9.12859344482422	9.14107322692871	9.13541889190674	9.20964908599854	9.20139694213867	9.25307178497314	9.18210029602051					Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.-)	pdhC llmg_0072	pdhC	llmg_0072	0	0			530	2.3.1.-	pdhC	llmg_0072	56,331	metabolic process [GO:0008152]	transferase activity, transferring acyl groups [GO:0016746]		0	0	0	0	0	llm:llmg_0072	0	COG0508;ENOG4105C7S	K00627	C	23	1	22	22	50	56.33	530	0	183.09	8943700000	388860000	62172000	47271000	46827000	36723000	43182000	44615000	64779000	43289000	2.01210720387893	0.427725417439703	-0.0669865608215332	-0.0658050958966723	530	56330.9566799998	23	A2RHE2	A2RHE2	tr|A2RHE2|A2RHE2_LACLM Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex OS=Lactococcus lactis subsp. cremoris (strain MG1363) GN=pdhC PE=3 SV=1	pdhC	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex
9.11537742614746	9.06152820587158	9.06239414215088	9.04952812194824	9.17446708679199	9.10380363464355	9.10476016998291	9.17461204528809					Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)	pdhB llmg_0073	pdhB	llmg_0073	0	0			326	1.2.4.1	pdhB	llmg_0073	35,165		pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739]		0	0	0	0	0	llm:llmg_0073	0	COG0022;ENOG4105CPP	K00162	C	24	1	23	23	65.6	35.165	326	0	323.31	7440000000	437710000	68978000	52729000	55832000	42694000	52127000	49349000	72939000	43058000	1.43941238433751	0.428918518518519	-0.0672037601470947	-0.0655619861092745	326	35165.04868	17	A2RHE3	A2RHE3	tr|A2RHE3|A2RHE3_LACLM Pyruvate dehydrogenase E1 component beta subunit OS=Lactococcus lactis subsp. cremoris (strain MG1363) GN=pdhB PE=4 SV=1	pdhB	Pyruvate dehydrogenase E1 component beta subunit
8.92536926269531	8.88968849182129	8.82458114624023	8.80991649627686	8.79164123535156	8.85274791717529	8.86203575134277	8.85388088226318					Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)	pdhA llmg_0074	pdhA	llmg_0074	0	0			374	1.2.4.1	pdhA	llmg_0074	41,352		pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739]		0	0	0	0	0	llm:llmg_0074	0	COG1071;ENOG4107RUY	K00161	C	25	1	19	19	51.9	41.351	374	0	200.25	4264700000	250860000	50801000	29746000	34423000	27442000	20304000	29902000	39235000	19010000	0.294001108802876	0.785283116883117	0.0223124027252197	0.0216264134100248	374	41351.9278799999	17	A2RHE4	A2RHE4	tr|A2RHE4|A2RHE4_LACLM Pyruvate dehydrogenase E1 component alpha subunit OS=Lactococcus lactis subsp. cremoris (strain MG1363) GN=pdhA PE=4 SV=1	pdhA	Pyruvate dehydrogenase E1 component alpha subunit
7.74404239654541	7.81180953979492	7.76822376251221	7.7542872428894	7.55096197128296	7.62555932998657	7.63633728027344	7.69547271728516					Lipoate--protein ligase (EC 6.3.1.20)	lplL llmg_0075	lplL	llmg_0075	0	0			333	6.3.1.20	lplL	llmg_0075	37,783	protein lipoylation [GO:0009249]	ATP binding [GO:0005524];ligase activity [GO:0016874]		0	0	0	0	0	llm:llmg_0075	0	COG0095;ENOG4105DF9	K03800	H	26	1	9	9	29.4	37.783	333	0	41.22	298810000	17577000	3789700	2858600	2569500	1807700	1420700	1728500	1915000	1487500	2.28913649527932	0.259776223776224	0.142507910728455	0.137928032229831	333	37783.30608	17	A2RHE5	A2RHE5	tr|A2RHE5|A2RHE5_LACLM Lipoate--protein ligase OS=Lactococcus lactis subsp. cremoris (strain MG1363) GN=lplL PE=4 SV=1	lplL	Lipoate--protein ligase
7.64147424697876	7.62129068374634	7.65280675888062	7.64784240722656	7.63514184951782	7.62392091751099	7.63088512420654	7.63694906234741					Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)	trpS llmg_0079	trpS	llmg_0079	0	0			341	6.1.1.2	trpS	llmg_0079	38,119	tryptophanyl-tRNA aminoacylation [GO:0006436]	ATP binding [GO:0005524];tryptophan-tRNA ligase activity [GO:0004830]	cytoplasm [GO:0005737]	0	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00140}.	0	0	0	llm:llmg_0079	0	COG0180;ENOG4105C31	K01867	J	28	1	10	10	34	38.119	341	0	38.524	254660000	13403000	2259000	1984600	1906700	1423200	1237400	1770800	2051400	770130	0.56970484344058	0.911412455934195	0.00912928581237793	0.00906130642899372	341	38119.47828	19	A2RHE9	A2RHE9	tr|A2RHE9|A2RHE9_LACLM Tryptophan--tRNA ligase OS=Lactococcus lactis subsp. cremoris (strain MG1363) GN=trpS PE=3 SV=1	trpS	Tryptophan--tRNA ligase
7.50580072402954	7.3555474281311	7.52184391021729	7.52009010314941	7.56465435028076	7.38731861114502	7.27093505859375	7.36503839492798					Phosphate acyltransferase (EC 2.3.1.n2) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase)	plsX llmg_0083	plsX	llmg_0083	0	0			331	2.3.1.n2	plsX	llmg_0083	34,749	fatty acid biosynthetic process [GO:0006633];phospholipid biosynthetic process [GO:0008654]	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616];transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747]	cytoplasm [GO:0005737]	0	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00019}. Note=Associated with the membrane possibly through PlsY. {ECO:0000255|HAMAP-Rule:MF_00019}.	0	0	0	llm:llmg_0083	0	COG0416;ENOG4105C6B	K03621	I	30	1	11	11	37.8	34.749	331	0	40.353	166480000	11098000	2152900	1656100	2163100	1278800	1009200	894380	1413100	530980	0.489759384539952	0.396666666666667	0.0788339376449585	0.0734468090027353	331	34748.96978	15	A2RHF3	A2RHF3	sw|A2RHF3|PLSX_LACLM Phosphate acyltransferase OS=Lactococcus lactis subsp. cremoris (strain MG1363) GN=plsX PE=3 SV=1	plsX	Phosphate acyltransferase
7.29503917694092	7.22783517837524	7.37988519668579	7.37812519073486	7.50847578048706	7.46465349197388	7.37615728378296	7.44379472732544					Putative hydrolase	llmg_0084		llmg_0084	0	0			270			llmg_0084	30,331		hydrolase activity [GO:0016787]		0	0	0	0	0	llm:llmg_0084	0	COG0561;ENOG4108HCJ		S	31	1	10	10	47.4	30.331	270	0	44.394	152030000	10136000	1991700	1283500	1770300	1166000	749810	1354700	1281100	538630	1.50320836065329	0.265029585798817	-0.12804913520813	-0.122438796509083	270	30331.27268	15	A2RHF4	A2RHF4	tr|A2RHF4|A2RHF4_LACLM Putative hydrolase OS=Lactococcus lactis subsp. cremoris (strain MG1363) GN=llmg_0084 PE=4 SV=1	llmg_0084	Putative hydrolase
8.33917331695557	8.31001281738281	8.36261463165283	8.34824657440186	8.41489028930664	8.36904907226563	8.40708446502686	8.31020450592041					Putative ABC transporter ATP binding protein	llmg_0085		llmg_0085	0	0			545			llmg_0085	61,519		ATP binding [GO:0005524];ATPase activity [GO:0016887]		0	0	0	0	0	llm:llmg_0085	0	COG0488;ENOG4105C5H		S	32	1	22	22	49.4	61.518	545	0	252.04	1353500000	48339000	8153700	6575300	5951900	4538400	5372200	6200600	7734400	3812800	0.640241280101842	0.656554285714286	-0.0352952480316162	-0.034389009965504	545	61518.5604799998	28	A2RHF5	A2RHF5	tr|A2RHF5|A2RHF5_LACLM Putative ABC transporter ATP binding protein OS=Lactococcus lactis subsp. cremoris (strain MG1363) GN=llmg_0085 PE=4 SV=1	llmg_0085	Putative ABC transporter ATP binding protein
6.32197093963623	6.45050048828125	6.43322563171387	6.37047624588013	6.30646467208862	6.32739973068237	6.36338758468628	6.46396780014038					O-acetylhomoserine sulfhydrylase (EC 2.5.1.49)	cysD llmg_0091	cysD	llmg_0091	0	0			426	2.5.1.49	cysD	llmg_0091	46,279		O-acetylhomoserine aminocarboxypropyltransferase activity [GO:0003961];pyridoxal phosphate binding [GO:0030170]		0	0	0	0	0	llm:llmg_0091	0	COG2873;ENOG4108IQK	K01740	E	33	1	2	2	5.6	46.278	426	0	4.4583	13708000	685410	106170	103880	114300	73335	63835	63414	88864	71619	0.257285860995094	0.720550607287449	0.0287383794784546	0.0274812914000347	426	46279.0508799999	20	A2RHG2	A2RHG2	tr|A2RHG2|A2RHG2_LACLM O-acetylhomoserine sulfhydrylase OS=Lactococcus lactis subsp. cremoris (strain MG1363) GN=cysD PE=3 SV=1	cysD	O-acetylhomoserine sulfhydrylase
8.01515007019043	8.04000854492188	8.03917598724365	8.099853515625	8.12251091003418	8.03148937225342	8.01903343200684	8.0419454574585					Putative short-chain type dehydrogenase (EC 1.-.-.-)	llmg_0092		llmg_0092	0	0			277	1.-.-.-		llmg_0092	30,822		oxidoreductase activity [GO:0016491]		0	0	0	0	0	llm:llmg_0092	0	COG1028;ENOG4105E1F		S	34	1	7	7	37.9	30.822	277	0	145.8	642110000	49393000	7922700	6161900	1561000	5942100	7222400	6464400	8615000	5503300	0.0624070284078836	0.956324571428571	-0.00519776344299316	-0.00504859047927666	277	30822.26038	13	A2RHG3	A2RHG3	tr|A2RHG3|A2RHG3_LACLM Putative short-chain type dehydrogenase OS=Lactococcus lactis subsp. cremoris (strain MG1363) GN=llmg_0092 PE=3 SV=1	llmg_0092	Putative short-chain type dehydrogenase
